Question_Id,Actual_Question,Question_Field,Question_Type,Total_Views,Total_Answers,Total_Correct,Total_Incorrect,Correct_Statement,Incorrect_Statement,Quiz_Date,,Percent_Correct,Percent_Incorrect,Percent_Participate,Real Number,Avarage Views
1,What is considered neutral on the pH scale?,Chemistry,Question,191,67,61,6,a pH of 7,a pH of 0,10/05/2019,,91.04%,8.96%,35.08%,1,126.545283
2,What allows electricity to flow?,Physics,Question,187,63,57,6,Conductor,Insulator,10/05/2019,,90.48%,9.52%,33.69%,2,126.545283
3,What element is a diamond made of?,Chemistry,Question,179,63,53,10,Carbon,Silicon,10/05/2019,,84.13%,15.87%,35.20%,3,126.545283
4,How do you write Giga in scientific notation,General,Question,176,61,42,19,10^9,10^12,10/05/2019,,68.85%,31.15%,34.66%,4,126.545283
5,What changes as gravity changes?,Physics,Question,169,62,35,27,Weight,Mass,10/05/2019,,56.45%,43.55%,36.69%,5,126.545283
6,The Earth is the __ planet from the sun.,Astronomy,Fill in,194,68,55,13,3rd,5th,17/05/2019,,80.88%,19.12%,35.05%,1,126.545283
7,Another word used to describe Rusting?,Chemistry,Question,180,65,62,3,Oxidation,Acidification,17/05/2019,,95.38%,4.62%,36.11%,2,126.545283
8,Sound travels faster than light.,Physics,True or False,177,65,53,12,FALSE,TRUE,17/05/2019,,81.54%,18.46%,36.72%,3,126.545283
9,Atoms are made of protons neutrons and __.,Physics,Fill in,171,60,58,2,Electrons,Photons,17/05/2019,,96.67%,3.33%,35.09%,4,126.545283
10,"If a fly hits a bus, which one experiences more force?",Physics,Question,166,61,51,10,They experience the same force,The fly,17/05/2019,,83.61%,16.39%,36.75%,5,126.545283
11,Force is measured in __.,Physics,Fill in,196,69,65,4,Newtons,Pascals,24/05/2019,,94.20%,5.80%,35.20%,1,126.545283
12,The boiling point of water changes with altitude.,Physics,True or False,186,66,46,20,TRUE,FALSE,24/05/2019,,69.70%,30.30%,35.48%,2,126.545283
13,Sound can't travel through __.,Physics,Fill in,178,68,56,12,A vacuum,Water,24/05/2019,,82.35%,17.65%,38.20%,3,126.545283
14,Energy can not be created or __.,Physics,Fill in,171,68,63,5,Destroyed,Converted,24/05/2019,,92.65%,7.35%,39.77%,4,126.545283
15,How many planets are in our solar system?,Astronomy,Question,159,65,34,31,Eight,Nine,24/05/2019,,52.31%,47.69%,40.88%,5,126.545283
16,A reaction that releases heat is __.,Chemistry,Fill in,197,79,72,7,Exothermic,Endothermic,31/05/2019,,91.14%,8.86%,40.10%,1,126.545283
17,What are the units for density?,General,Question,185,76,56,20,kg/m^3,N*m,31/05/2019,,73.68%,26.32%,41.08%,2,126.545283
18,Conventional current flows in which direction?,Physics,Question,180,77,41,36,Positive to Negative,Negative to Positive,31/05/2019,,53.25%,46.75%,42.78%,3,126.545283
19,The transfer of heat is known as __.,Physics,Fill in,171,73,21,52,Convection,Conduction,31/05/2019,,28.77%,71.23%,42.69%,4,126.545283
20,Plastic could be considered to be __.,Chemistry,Fill in,163,73,70,3,A Polymer,An Ester,31/05/2019,,95.89%,4.11%,44.79%,5,126.545283
21,Life on Earth is considered to be __ based.,Biology,Fill in,157,63,49,14,Carbon,Hydrogen,14/06/2019,,77.78%,22.22%,40.13%,1,126.545283
22,There are more than 3 states of matter.,Physics,True or False,150,59,32,27,TRUE,FALSE,14/06/2019,,54.24%,45.76%,39.33%,2,126.545283
23,A light-year is used to measure __.,Astronomy,Fill in,140,57,36,21,Distance,Time,14/06/2019,,63.16%,36.84%,40.71%,3,126.545283
24,Electron orbitals are separated by __.,Physics,Fill in,132,54,26,28,Discrete energy levels,Continuous energy levels,14/06/2019,,48.15%,51.85%,40.91%,4,126.545283
25,Water moves from a higher concentration to a lower concentration via __.,Chemistry,Fill in,127,56,39,17,Osmosis,Diffusion,14/06/2019,,69.64%,30.36%,44.09%,5,126.545283
26,When do atoms share electrons?,Chemistry,Question,167,58,34,24,Covalent bonding,Ionic bonding,21/06/2019,,58.62%,41.38%,34.73%,1,126.545283
27,What is the most abundant element in our atmosphere?,Chemistry,Question,153,61,43,18,Nitrogen,Oxygen,21/06/2019,,70.49%,29.51%,39.87%,2,126.545283
28,Platinum is an inert element.,Chemistry,True or False,145,59,40,19,TRUE,FALSE,21/06/2019,,67.80%,32.20%,40.69%,3,126.545283
29,We have day and night because __.,Astronomy,Fill in,139,61,35,26,The earth rotates in place,The earth revolves around the sun,21/06/2019,,57.38%,42.62%,43.88%,4,126.545283
